Date,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
6/16/2013,Kathmandu,27.7,85.3,16.14,83.59,14.48,80.94,20.3,16.49,23.48,17.38,6.11,20.82,1.83,3.59,0.61,2.98,2.19,3.8,0.95,2.85
6/17/2013,Kathmandu,27.7,85.3,46.09,83.51,14.37,77.76,20.82,16.28,25.46,16.82,8.63,21.43,1.62,2.98,0.67,2.31,1.77,2.55,1.06,1.48
6/18/2013,Kathmandu,27.7,85.3,5.66,83.35,14.48,76.65,21.13,16.42,25.73,17.25,8.47,21.83,1.6,3.7,0.14,3.56,1.55,3.11,0.24,2.87
6/19/2013,Kathmandu,27.7,85.3,5.39,83.34,14.95,80.68,20.81,17,24.81,17.51,7.3,22.06,2.16,4.26,0.58,3.68,2.21,3.5,0.81,2.69
6/20/2013,Kathmandu,27.7,85.3,2.84,83.32,15.33,82.41,20.87,17.44,25.37,16.45,8.92,22.29,2.36,4.62,0.42,4.21,2.3,4.02,0.47,3.56
6/21/2013,Kathmandu,27.7,85.3,23.06,83.3,16.13,85.7,21.05,18.26,24.87,17.9,6.97,21.93,2.07,4.32,0.18,4.14,1.93,3.74,0.28,3.46
6/22/2013,Kathmandu,27.7,85.3,13.89,83.38,16.16,83.09,21.61,18.21,25.41,18.61,6.8,22.45,1.83,3.74,0.33,3.41,1.79,2.98,0.44,2.54
6/23/2013,Kathmandu,27.7,85.3,29.78,83.3,16.35,82.32,21.93,18.35,25.83,19.06,6.77,22.53,1.79,3.9,0.23,3.67,1.77,3.26,0.21,3.05
6/24/2013,Kathmandu,27.7,85.3,3.55,83.37,15.99,80.84,21.88,18.02,25.75,18.62,7.13,22.76,2.05,3.86,0.04,3.82,2.04,3.31,0.14,3.17
6/25/2013,Kathmandu,27.7,85.3,8.46,83.52,16.32,84.27,21.56,18.41,25.12,18.48,6.64,22.36,2,4.11,0.35,3.76,2.01,3.45,0.61,2.84
6/26/2013,Kathmandu,27.7,85.3,23.13,83.44,16.72,86.43,21.52,18.76,25.16,18.81,6.35,22.27,1.75,3.64,0.25,3.39,1.69,3.22,0.43,2.79
