SN,Commodity,Date,Unit,Minimum,Maximum,Average
63,Ginger,16-06-2013,Kg,140,150,145
136,Ginger,17-06-2013,Kg,140,150,145
209,Ginger,18-06-2013,Kg,140,150,145
282,Ginger,19-06-2013,Kg,140,150,145
356,Ginger,20-06-2013,Kg,140,150,145
430,Ginger,21-06-2013,Kg,130,140,135
503,Ginger,25-06-2013,Kg,140,150,145
576,Ginger,26-06-2013,Kg,130,140,135
648,Ginger,27-06-2013,Kg,130,140,135
718,Ginger,28-06-2013,Kg,130,140,135
789,Ginger,30-06-2013,Kg,130,140,135
859,Ginger,01-07-2013,Kg,140,150,145
927,Ginger,02-07-2013,Kg,150,160,155
997,Ginger,03-07-2013,Kg,150,160,155
1067,Ginger,04-07-2013,Kg,150,160,155
1136,Ginger,05-07-2013,Kg,150,160,155
1206,Ginger,09-07-2013,Kg,150,160,155
1277,Ginger,10-07-2013,Kg,150,160,155
1346,Ginger,11-07-2013,Kg,150,160,155
1416,Ginger,12-07-2013,Kg,160,170,165
1486,Ginger,14-07-2013,Kg,160,170,165
1554,Ginger,15-07-2013,Kg,160,170,165
1623,Ginger,16-07-2013,Kg,150,160,155
1693,Ginger,17-07-2013,Kg,170,180,175
1764,Ginger,18-07-2013,Kg,160,170,165
1834,Ginger,19-07-2013,Kg,160,170,165
1905,Ginger,21-07-2013,Kg,170,180,175
1976,Ginger,22-07-2013,Kg,170,180,175
2045,Ginger,23-07-2013,Kg,170,180,175
2114,Ginger,24-07-2013,Kg,170,180,175
2184,Ginger,25-07-2013,Kg,170,180,175
2253,Ginger,26-07-2013,Kg,170,180,175
2322,Ginger,28-07-2013,Kg,170,180,175
2390,Ginger,29-07-2013,Kg,170,180,175
2457,Ginger,30-07-2013,Kg,170,180,175
2523,Ginger,31-07-2013,Kg,170,180,175
2590,Ginger,01-08-2013,Kg,170,180,175
2658,Ginger,02-08-2013,Kg,170,180,175
2725,Ginger,04-08-2013,Kg,170,180,175
2791,Ginger,05-08-2013,Kg,160,170,165
2856,Ginger,06-08-2013,Kg,160,170,165
2922,Ginger,07-08-2013,Kg,150,160,155
2990,Ginger,08-08-2013,Kg,140,150,145
3098,Ginger,13-08-2013,Kg,145,160,152.5
3168,Ginger,14-08-2013,Kg,150,160,155
3236,Ginger,15-08-2013,Kg,150,160,155
3307,Ginger,16-08-2013,Kg,150,160,155
3378,Ginger,18-08-2013,Kg,150,160,155
3448,Ginger,19-08-2013,Kg,150,160,155
3519,Ginger,20-08-2013,Kg,180,190,185
3590,Ginger,23-08-2013,Kg,180,190,185
